LocusID	Probes	Family	Differentially expressed in	Tos17 Flanking tag in genomic region	Tos17 Flanking tag in 2Kb upstream region	7-d-seedlg-salt_GSE6901;7-d-old seedling (Indica)	CSR27-10-d-seedlg-salt_GSE16108;Seedling 10-d after germination (CSR27)	FL478-rt-salt_GSE13735;Roots (FL478)	FL478-rt-30-d-plant-salt_GSE14403;Roots in 30-d-old plant (FL478)	IR29-rt-salt_GSE13735;Roots (IR29)	IR29-rt-30-d-plant-salt_GSE14403;Roots in 30-d-old plant (IR29)	IR63731-rt-30-d-plant-salt_GSE14403;Roots in 30-d-old plant (IR63731)	MI48-10-d-seedlg-salt_GSE16108;Seedling 10-d after germination (MI48)	Pok-rt-30-d-plant-salt_GSE14403;Roots in 30-d-old plant (Pokkali)	7-d-seedlg-drought_GSE6901;7-d-old seedling (Indica)	Azu-lf-83-d-plant-drought_GSE24048;Leaf in 83-d-old plant (Azucena)	Bal-lf-83-d-plant-drought_GSE24048;Leaf in 83-d-old plant (Bala)	lf-boot-stg-drought_GSE26280;Leaves at booting stage (IR64)	lf-pan-elongn-stg-drought_GSE26280;Leaves at panicle elongation stage (IR64)	lf-tiller-stg-drought_GSE26280;Leaves at tillering stage (IR64)	rt-pan-elongn-stg-drought_GSE26280;Roots at panicle elongation stage (IR64)	rt-tiller-stg-drought_GSE26280;Roots at tillering stage (IR64)	young-pan-boot-stg-drought_GSE26280;Young panicle at booting stage (IR64)
LOC_Os01g57890	Os.18390.1.S1_a_at	HB	--	FT901343;FT886829;CU321450	--	-1.0148948	1.0757904	-1.0324702	-1.0324702	1.0030706	1.0030706	1.0008240	-1.0303779	-1.0070690	1.0057600	-1.0056851	-1.0083048	-1.0093364	1.0065018	-1.0052394	1.0165890	1.0097874	1.2362883
LOC_Os04g56850	Os.48513.1.S1_a_at	ARF	Drought	FT909440;FT875695;AG206887;AG022989;CU315554;CU318038	--	-1.7111729	1.1488907	-1.2495723	-1.2495723	1.1983559	1.1983559	-1.0258700	-1.0267943	-1.5066361	-1.8070444	-1.0100371	-1.0139397	-1.0230178	-1.0189227	-1.0299873	-1.0026873	-1.0647788	-2.1241508
LOC_Os12g41880	Os.5602.1.S1_at	CCAAT	Salinity	FT875381	--	-1.0322593	-1.0858016	-1.2921424	-1.2921424	-1.0747836	-1.0747836	-1.0481707	2.1542432	-1.1842550	1.1923225	1.6316757	1.4214464	1.7125591	1.4606293	1.5741463	1.4236028	1.6899432	1.8292352
LOC_Os09g35010	Os.5816.1.S1_at	AP2-EREBP	Salinity;Drought	--	--	-11.1980240	1.0418996	-1.6732936	-1.6732936	2.0024020	2.0024020	16.1920030	-1.2003638	1.9053854	1.8900537	-3.5308400	-7.0229830	-1.2504594	-1.5173142	-1.9088928	-15.7546880	-3.5995896	-1.0612192
LOC_Os08g39980	Os.54007.1.S1_s_at	MYB-related	Salinity	--	--	1.3775902	-3.1035988	-1.3044474	-1.3044474	-1.0015004	-1.0015004	-1.1410354	1.7468549	-1.2361570	-1.9060832	-1.5972856	-1.6318719	1.1182601	-1.0921582	1.4153411	-1.3759145	-1.2616147	-1.7609894
LOC_Os11g04360	OsAffx.19482.2.S1_x_at	NAC	--	--	--	-1.0385333	1.7245104	1.0378579	1.0378579	1.0015972	1.0015972	-1.1066568	-1.0289205	-1.0833923	1.0337919	-1.0039935	-1.0042897	-1.0154914	-1.1617322	-1.0372823	-1.0031010	-1.0054326	1.0138390
LOC_Os06g51260	Os.18955.1.S1_at	MYB-related	Salinity;Drought	--	--	2.2356846	3.6664660	-3.6200993	-3.6200993	-1.7369152	-1.7369152	-3.5659971	8.6680310	-5.1066750	-1.4924312	1.6163716	11.7127630	2.3776630	2.4759471	2.4782250	17.7083680	8.0232740	1.3836254
LOC_Os02g03690	Os.49427.1.S1_x_at	BES1	Salinity;Drought	--	--	1.2570744	1.3846837	-1.0313451	-1.0313451	-1.1268180	-1.1268180	-1.2375550	2.4241930	1.2404805	-1.1626228	-1.0867904	-1.0040478	1.8197738	1.3711615	2.4273014	-1.3095934	-1.5027505	1.4533722
LOC_Os05g50270	Os.53593.1.S1_at	C2C2-GATA	Salinity	--	--	-1.0651426	1.0787177	1.3466386	1.3466386	2.3259400	2.3259400	1.4125202	-1.0870824	1.6391764	1.0657697	-1.0048670	-1.0030179	-1.0165806	-1.0029547	-1.0077581	-1.0190170	1.0106056	1.0048333
LOC_Os02g57250	Os.4806.1.S1_at	AUX/IAA	Salinity;Drought	--	--	-2.1896150	-1.4365454	2.1659741	2.1659741	1.5061160	1.5061160	1.7475082	-1.3222231	2.2545840	3.6768453	-1.1485544	-2.0830480	-1.3633269	-11.7434435	-1.6637139	-1.9327801	-1.2167649	-1.0434922
LOC_Os03g58010	Os.26768.1.S1_at	GNAT	Salinity;Drought	--	--	15.3617970	-1.5823454	-1.6901242	-1.6901242	1.3649614	1.3649614	1.1209183	7.9720330	-2.0637631	-8.7031970	-4.0192400	-1.9110749	3.9375439	2.8002377	1.0461490	3.5365560	-1.0989928	1.0326426
LOC_Os02g45054	Os.17568.1.S1_at	C2H2	Salinity;Drought	--	--	1.6253359	-1.2320242	1.9676119	1.9676119	1.2243592	1.2243592	1.2831618	2.2859802	1.2098165	-1.2724131	-1.4550523	-1.5290904	-1.7604878	-1.0048985	1.0220940	-2.5638704	-2.5335636	-3.0663817
LOC_Os03g09280	Os.5252.1.S1_at	GRAS	--	--	--	-1.1632998	-1.1069067	1.0332667	1.0332667	-1.0602016	-1.0602016	1.0720826	-1.2187791	1.0870485	1.1712961	-1.1497240	-1.0412856	1.1440428	-1.1062208	1.0432104	-1.5567944	-1.6019608	1.2324824
LOC_Os09g27190	OsAffx.17925.1.S1_at	RWP-RK	--	--	--	-1.0124253	1.1482577	-1.0016181	-1.0016181	-1.0007869	-1.0007869	-1.0021540	-1.0548639	-1.0027434	1.0096298	-1.0043017	-1.0017359	-1.0493090	-1.0088245	-1.0048770	1.0079485	1.0078827	-1.0008379
LOC_Os04g53390	OsAffx.4165.1.S1_at	TRAF	--	--	--	-1.0111638	1.0252862	-1.0009775	-1.0009775	-1.0031542	-1.0031542	-1.0013684	-1.0473546	-1.0009478	1.0094159	-1.0029595	-1.0019554	-1.0101210	-1.0003508	-1.0039009	1.0081446	1.0051318	1.0012356
LOC_Os04g32620	Os.25362.1.A1_at	AP2-EREBP	Drought	--	--	1.0592877	1.0719686	-1.0024545	-1.0024545	-1.0342370	-1.0342370	-1.0028671	-1.2085892	-1.0058998	-1.1283379	1.2262132	1.0039603	1.1299747	12.9459630	1.0098981	3.3514130	1.3964297	1.0070127
LOC_Os02g09920	Os.47884.1.S1_at	PHD	Salinity;Drought	--	--	1.0288680	-2.1605797	-1.0447325	-1.0447325	-1.1064186	-1.1064186	1.1157917	2.1209128	1.1618960	-1.0238059	-1.0061550	-1.1173911	1.3903495	1.8151261	2.0036933	1.1016250	1.3133072	-1.5896125
LOC_Os12g40630	OsAffx.20055.1.S1_at	bHLH	--	--	--	-1.0189095	-1.0018145	-1.0054786	-1.0054786	-1.0024797	-1.0024797	-1.0106150	-1.3082638	-1.0007253	1.0137457	1.0092115	-1.0127097	-1.0304539	-1.0121428	-1.0111770	1.0142990	-1.0101465	1.0037731
LOC_Os10g31970	Os.50631.1.S1_at	SNF2	Salinity	--	--	-1.2131877	-1.3682345	-1.0118729	-1.0118729	-1.1518600	-1.1518600	-1.0592147	2.7515974	1.4423444	1.5633041	1.1442119	1.1030569	1.6175206	1.2193214	1.4075224	1.6714988	1.3945045	1.1801350
LOC_Os06g36680	OsAffx.27965.1.S1_at	HB	--	--	--	-1.0357026	1.0917119	1.0096486	1.0096486	1.0045426	1.0045426	-1.0061662	-1.5193791	-1.0032685	1.0123369	-1.0353378	-1.0524449	-1.0850283	-1.0326973	-1.2270356	1.0392132	1.0323573	-1.5895230
LOC_Os03g42630	Os.51378.1.S1_at	NAC	Salinity;Drought	--	--	1.0005627	-2.3479670	1.5905659	1.5905659	1.2909793	1.2909793	-1.3355532	-1.0445026	1.1185230	-1.2576159	1.0946001	-1.4825090	-1.4196185	-1.2217030	-1.8830035	-4.8509774	-8.7835970	-4.1800294
LOC_Os11g28270	Os.12914.1.S2_at	C3H	--	--	--	-1.0210743	1.1772108	1.0466169	1.0466169	-1.0162213	-1.0162213	-1.0207928	1.1262428	1.0015335	-1.0067708	-1.0096474	-1.0026203	-1.0222555	-1.0044811	-1.0333040	1.0111598	-1.0108768	-1.0006484
LOC_Os09g28354	Os.27176.1.S1_at	HSF	Salinity;Drought	--	--	3.4305067	1.2330170	-1.0919067	-1.0919067	-1.0221195	-1.0221195	1.5311149	2.1636822	1.2113773	-3.8784702	-2.3409550	-1.5704552	3.3867366	4.8923830	2.4153066	2.3959475	-1.0725580	-2.7587042
LOC_Os03g56010	OsAffx.25727.1.A1_at	bZIP	--	--	--	-1.0196674	1.0708374	1.1772717	1.1772717	1.0983698	1.0983698	1.0299473	1.4595830	-1.0321206	1.0117418	-1.0056950	1.0279762	-1.0237378	1.0010962	1.0035108	1.0106902	-1.0136218	-1.0107511
LOC_Os01g09640	Os.623.2.S1_x_at	MYB-related	Salinity;Drought	FT884262;FT884698	--	11.8395450	5.3895926	1.1040490	1.1040490	1.4298117	1.4298117	1.1528087	2.4578366	1.3879796	-11.4672330	3.6732368	3.5471253	9.7339040	10.8127290	2.1550882	-1.0574226	1.3729078	4.0633830
LOC_Os03g42420	Os.51715.1.S1_at	ABI3VP1	--	--	--	-1.0439583	-1.0815892	1.0855824	1.0855824	1.0173097	1.0173097	1.0164335	-1.1771111	-1.0031280	1.0403880	-1.0104581	1.0089805	1.0039152	-1.0060284	-1.0405545	1.0131444	1.0101179	1.0002886
LOC_Os06g29020	Os.18095.1.S1_a_at	HB	--	--	--	-1.1882136	1.0443118	1.0512699	1.0512699	1.0399640	1.0399640	-1.0183142	-1.5035543	-1.0431604	1.3357200	-1.0203530	1.0048487	1.2987549	-1.0164211	1.4697521	-1.3204473	1.1880406	1.0376322
LOC_Os06g06360	OsAffx.22585.1.S1_at	WRKY	Salinity	ER893809;ER893450	--	2.8001160	1.0224689	-1.0046422	-1.0046422	1.0174472	1.0174472	1.0002574	1.7308671	1.0075916	-1.1748210	-1.6168696	-1.0572995	-1.0899411	-1.1344666	-1.1035789	1.1366093	-1.0165270	1.0086998
LOC_Os10g42130	Os.21932.1.S1_at	NAC	Salinity;Drought	--	FT931853;CU315806	6.3075870	-3.1797926	1.0401418	1.0401418	1.5435659	1.5435659	-1.3230530	7.1853657	-1.1903640	-4.1916776	-3.1261344	1.2299922	-1.3785805	4.3685590	2.3487030	-3.6058793	-2.5800176	-6.3243847
LOC_Os02g43560	Os.53486.1.S1_at	WRKY	Salinity;Drought	--	--	2.0140433	-1.0367973	-1.0075109	-1.0075109	-1.0016375	-1.0016375	-1.0034136	-1.0014186	-1.0054574	-3.7753565	8.7641140	8.8204410	1.2519759	-1.1308446	5.4038770	1.0130473	1.0230654	1.3573235
LOC_Os02g07930	OsAffx.24157.1.S1_s_at	Orphans	Salinity;Drought	--	FT901148	4.0325794	1.9495958	-2.1895218	-2.1895218	-2.1458778	-2.1458778	-1.3321146	16.3941330	-1.3792458	-4.0605845	4.5808080	5.9633590	25.7297360	5.3269405	-1.1830554	2.0584936	7.5133100	2.1485940
LOC_Os05g34730	OsAffx.27165.1.S1_at	AP2-EREBP	Salinity	--	CU325309	11.4629340	1.1541722	1.0720698	1.0720698	-1.0047208	-1.0047208	1.4056022	1.0318385	-1.6427734	-1.4653528	-1.0147095	1.0019069	-1.0631467	1.0301402	-1.0893081	-1.7130966	-1.0637114	-1.0029814
LOC_Os03g42250	OsAffx.25485.2.S1_at	ABI3VP1	--	AB157923;CU316020;CU315896	--	-1.0135143	1.0347029	1.0127922	1.0127922	1.0067866	1.0067866	-1.0050923	-1.0235418	-1.0003148	1.0113093	-1.0048641	-1.0020287	-1.0654103	-1.0170844	-1.1041890	1.0135745	1.0131563	1.0071876
LOC_Os02g39360	Os.3397.1.S1_at	DBB	Salinity;Drought	--	--	1.1184063	-1.8523217	-6.1193385	-6.1193385	-2.8019462	-2.8019462	-2.9428456	3.3073957	-3.2817194	1.7666298	-1.1786574	-2.5521636	-4.1227760	-12.3206530	-3.1877444	-2.4867098	-1.0812931	4.5815578
LOC_Os05g03040	Os.11230.1.S1_s_at	AP2-EREBP	Salinity;Drought	FT910687	--	-1.1130093	2.5066247	-1.3298912	-1.3298912	-1.1880301	-1.1880301	-1.2831877	1.3259705	-1.0079937	1.5840887	1.4960079	-1.3700581	-1.1740074	-3.6200890	1.1968429	-1.9697624	-1.8414885	1.0793579
LOC_Os06g39906	Os.26397.1.S1_at	HB	Salinity;Drought	--	--	-1.2126882	-1.8322843	2.0096160	2.0096160	1.8819084	1.8819084	1.6221870	-5.6144133	1.7857442	1.5458379	1.0898086	1.1278145	-1.2301403	-3.6873376	1.0813833	1.7275978	2.4948945	1.4250172
LOC_Os07g39220	Os.54781.1.S1_at	BES1	Drought	--	--	-1.1685015	-1.6731435	1.3556198	1.3556198	1.2699541	1.2699541	1.3275856	-1.7605063	1.0380825	-1.4339279	-1.3248020	-1.5114857	-1.1784118	-2.0319630	-1.7805198	-2.8720343	-2.1654308	-8.5582720
LOC_Os02g44130	Os.52090.1.S1_at	C2H2	--	--	--	-1.0144311	1.1202717	1.0000044	1.0000044	1.0645822	1.0645822	-1.0030754	-1.1550766	1.0039835	1.0144383	-1.9844065	-1.0045576	-1.0232885	-1.0267899	-1.0136140	1.0082755	1.0098736	-1.5612679
LOC_Os08g06330	Os.43170.1.S1_at	C3H	Salinity;Drought	--	--	1.2150183	-1.0595602	1.0303742	1.0303742	-1.0931108	-1.0931108	-1.0312756	2.8661034	1.0461643	-1.1930724	1.2868527	1.3154752	-1.0305709	1.9034010	-1.1532781	1.0570883	2.1360815	1.0899970
LOC_Os05g04210	OsAffx.14536.1.S1_at	MYB	Salinity;Drought	--	--	14.1656010	-1.0332123	-1.0040709	-1.0040709	-1.0066229	-1.0066229	1.0309758	2.2350307	-1.0074718	-1.2565657	-1.0046266	-1.0023348	-1.0118520	2.1140811	-1.0038893	3.1935306	1.0465850	1.0018733
LOC_Os02g53620	OsAffx.12626.1.S1_at	CCAAT	Salinity;Drought	--	--	-5.0828750	-1.9267024	1.0225757	1.0225757	1.0709233	1.0709233	1.0825433	-2.2099335	1.5069944	7.7070380	-1.9730545	-2.7343378	1.0967714	-3.8651922	2.2722870	-4.5566406	-1.9738789	-1.7935094
LOC_Os05g03550	Os.10447.1.S1_at	MYB	Drought	--	--	1.2621949	1.1091721	-1.0468830	-1.0468830	1.0548333	1.0548333	1.0690088	1.4834162	1.2342223	-1.4067756	1.1299770	-1.0214269	1.5776068	2.0932170	1.4866455	1.1810195	1.2344157	1.3121970
LOC_Os06g50900	Os.11409.1.S1_at	bHLH	Salinity;Drought	--	--	1.5187238	-1.2841490	1.6078831	1.6078831	1.6571451	1.6571451	1.4601835	3.8431930	1.3125638	-2.3100216	-1.0065311	1.0258045	-1.0504811	1.2314490	2.6734590	-1.0971148	-1.8281989	-5.1255608
LOC_Os01g66570	OsAffx.23943.1.S1_s_at	C2H2	--	--	--	-1.0152785	-1.1158285	-1.0021805	-1.0021805	-1.0017508	-1.0017508	-1.0005816	-1.0572339	-1.0061349	1.0098668	-1.0076445	-1.0003778	-1.0136633	-1.0026600	-1.0119900	1.0110741	1.0073415	-1.0048213
LOC_Os06g07040	Os.15798.1.S1_at	AUX/IAA	Salinity;Drought	--	--	13.4641380	2.3424118	1.1413857	1.1413857	1.1067637	1.1067637	1.2569866	4.2817270	-1.0744945	-5.4031350	1.8274778	-1.5053333	3.3472946	5.8856000	1.0100372	6.4054920	7.7312603	5.1106052
LOC_Os01g54210	Os.27911.1.S1_at	C2C2-GATA	Salinity;Drought	--	--	-1.0985016	-3.8671248	1.6270097	1.6270097	-1.0077701	-1.0077701	1.1330181	2.2708855	-1.0153965	-1.6179779	1.0099338	-1.0009034	-1.1647416	1.0986695	-1.9361980	-1.5459211	-1.0999562	5.1500516
LOC_Os03g31594	Os.6505.1.S1_at	Jumonji	--	--	--	1.0667185	-1.7803301	-1.0748128	-1.0748128	1.0647962	1.0647962	1.0028381	-1.3805758	1.0660776	-1.4342251	-1.0203844	1.1613503	1.3416747	1.2343231	1.1494467	1.1675807	1.3176819	1.0749041
LOC_Os01g19970	OsAffx.21941.1.S1_s_at	MYB	Drought	--	--	-1.2274383	1.0805475	1.0010720	1.0010720	-1.0027689	-1.0027689	-1.0010970	1.2290189	-1.0042723	-5.4212527	-1.2111799	-1.0037277	-1.2423463	-16.2728560	-4.6866690	1.0121324	1.0039221	-1.1116565
LOC_Os02g57490	Os.7342.1.S1_at	LOB	Salinity;Drought	--	--	23.3420050	1.1924727	1.6928976	1.6928976	2.1866314	2.1866314	-1.0883974	-1.0805500	-1.0616927	1.0133684	1.0050062	-1.0100695	-1.0290672	1.0045704	-1.0571171	3.9645066	-1.2089390	-1.0226407
LOC_Os07g28840	Os.9542.1.A1_at	SET	Salinity;Drought	--	--	1.1568373	-2.4250083	1.1679038	1.1679038	1.2123964	1.2123964	1.0110316	1.1695709	1.3381889	1.7080425	1.3061781	1.8587640	2.4365613	-1.3517490	2.2173471	1.1027663	1.4275864	1.5040812
LOC_Os06g09370	Os.8790.1.S1_a_at	bHLH	Salinity;Drought	--	--	1.6547477	1.0875959	-1.0838298	-1.0838298	1.0587503	1.0587503	-1.1086918	3.2002985	-1.2411267	-3.2067683	-1.4864887	1.2008289	1.1428150	3.0929782	1.5006866	1.0674593	-1.1701066	1.6146619
LOC_Os01g18290	Os.27705.1.S1_at	bHLH	Salinity;Drought	--	--	2.1543770	1.0311177	2.1406357	2.1406357	2.0046430	2.0046430	1.9565315	1.6543446	1.9851184	-1.8354031	1.0487083	-1.6878978	-1.7679865	-6.4060170	-1.1940500	-3.4559340	2.0509486	1.4752356
LOC_Os11g45740	Os.2867.1.A1_at	MYB	Salinity;Drought	--	--	8.5124310	1.8968188	-1.2752658	-1.2752658	1.5969292	1.5969292	1.8301777	5.8945084	-1.4649123	-8.2074870	17.7841400	2.6193760	21.0209480	26.1151180	4.7999030	1.6111940	1.0584161	6.3682985
LOC_Os03g50860	Os.51112.1.S1_at	Orphans	Salinity;Drought	FT883797;CU321848	--	-3.2944860	-1.6445997	1.0377321	1.0377321	1.3216645	1.3216645	1.0385046	-2.1273756	1.7848278	4.4505860	1.0893583	1.1304642	-1.9498940	-3.3588622	2.2530968	1.4445088	1.1452848	-2.4649193
LOC_Os04g37440	OsAffx.14175.1.S1_at	GRAS	--	--	--	1.0604374	1.0138750	-1.0236629	-1.0236629	1.0273290	1.0273290	1.0264360	-1.1638650	-1.0092067	1.0411925	-1.0417817	-1.0207361	-1.0531032	-1.0990932	-1.2967103	-1.0442472	-1.2039520	-1.0185921
LOC_Os06g03710	Os.31950.1.S1_at	GRAS	Drought	--	--	-1.2281677	1.0419215	-1.0856986	-1.0856986	-1.5021429	-1.5021429	-1.3790562	-1.4548302	-1.2353226	1.9598335	1.0836825	1.0692688	-1.2457491	-1.0087861	-1.1295598	-2.8895380	-1.4661573	-1.2260529
LOC_Os04g59130	Os.19114.1.S2_at	TUB	Salinity;Drought	FT878404	--	1.3448095	-2.4831307	1.6357552	1.6357552	2.3552227	2.3552227	2.1563158	-2.2489007	1.7580758	1.0527973	1.2519410	-1.6111466	-1.1066358	-1.6048647	1.1110885	-2.0734239	-1.0528020	2.0993986
LOC_Os07g44950	Os.16597.1.S1_s_at	bZIP	Salinity;Drought	--	--	2.2707380	3.2647680	-1.2035792	-1.2035792	-1.0986961	-1.0986961	1.0783497	2.8201504	-1.2437334	-4.0153220	1.1082115	2.5198169	2.8021708	7.9863296	2.1743083	5.0982610	1.9165393	1.5794506
LOC_Os02g12790	Os.53733.1.S1_at	C2C2-GATA	Salinity;Drought	FT885316;CU321204	--	-3.6194093	-4.0678034	1.2888125	1.2888125	1.0760419	1.0760419	-1.0933490	-2.1064866	-1.1387237	14.9014530	-1.0802176	-1.2751979	-6.4674770	-56.1137240	-2.3508286	1.2976524	2.0163780	-3.3041110
LOC_Os02g42870	Os.55708.1.A1_at	MYB	--	--	--	1.0336915	1.2109405	1.0468407	1.0468407	1.0151789	1.0151789	1.0001501	1.8315903	-1.0013152	1.0031009	-1.0070457	-1.0061178	-1.0376290	1.0308458	-1.0536401	1.0213623	1.0523622	-1.0984008
LOC_Os02g25830	OsAffx.24424.1.S1_at	ABI3VP1	--	--	--	-1.0169303	-1.2834873	1.0028361	1.0028361	1.0004636	1.0004636	1.0024403	-1.0437539	-1.0045621	1.0112911	1.0647563	-1.0036403	-1.0337828	1.0139354	-1.0115923	1.0024964	-1.0004153	1.0019317
LOC_Os12g43620	OsAffx.32175.1.S1_at	bHLH	Drought	--	--	1.0896667	1.2299118	-1.1119661	-1.1119661	1.4625912	1.4625912	-1.0910784	1.0397439	1.0424929	-1.0382116	1.0164175	-1.1018741	-1.0051646	1.2069777	-1.0320055	2.2297428	-1.0135500	-1.0269487
LOC_Os10g29610	OsAffx.18449.1.S1_at	OFP	--	--	--	-1.0075502	1.0141112	-1.0010719	-1.0010719	-1.0019320	-1.0019320	-1.0046301	-1.0351142	-1.0025520	1.0068897	-1.0014980	1.0007674	-1.0090816	-1.0033152	1.0002908	1.0053937	1.0038615	-1.0010647
LOC_Os09g09630	OsAffx.17620.1.S1_at	WRKY	Salinity	--	--	-1.0343049	3.7294888	1.0049022	1.0049022	-1.0142512	-1.0142512	-1.0095619	12.1963090	-1.0106094	1.0216900	-1.0097551	-1.0215766	-1.0816457	-1.0374413	-1.0609560	1.0281519	1.0231401	1.0041548
LOC_Os09g26420	Os.5850.1.S1_at	AP2-EREBP	Drought	--	--	-1.2963647	-1.0772130	1.0161531	1.0161531	1.0149753	1.0149753	1.0490927	-1.8169267	1.1903570	1.9211385	-2.7736757	2.9711637	-1.7883707	-4.1234994	-1.5800922	-7.2536000	-5.5745700	1.2136819
LOC_Os02g39220	OsAffx.24649.1.S1_at	FAR1	Salinity	--	--	-1.0342299	2.6833465	1.0056975	1.0056975	1.0000268	1.0000268	-1.0036013	-1.3793472	-1.0088930	1.0322948	-1.0090097	-1.0157030	-1.0775175	-1.0313668	-1.0948956	1.0687917	1.0189255	1.0026417
